profile,index,source_row,case_id,ia,ib,ic,theta_e,we,id_ref,iq_ref,vdc,pi_reset,uq_zero_en,i_alpha_source,i_alpha_fixed,i_alpha_error,i_beta_source,i_beta_fixed,i_beta_error,id_source,id_fixed,id_error,iq_source,iq_fixed,iq_error,ud_lim_source,ud_lim_fixed,ud_lim_error,uq_lim_source,uq_lim_fixed,uq_lim_error,v_alpha_source,v_alpha_fixed,v_alpha_error,v_beta_source,v_beta_fixed,v_beta_error,ud_raw_source,ud_raw_fixed,ud_raw_error,uq_raw_source,uq_raw_fixed,uq_raw_error,t1_source,t1_fixed,t1_error,t2_source,t2_fixed,t2_error,duty_u_source,duty_u_fixed,duty_u_error,duty_v_source,duty_v_fixed,duty_v_error,duty_w_source,duty_w_fixed,duty_w_error,du_d_z_source,du_d_z_fixed,du_d_z_error,du_q_z_source,du_q_z_fixed,du_q_z_error,sector_source,sector_fixed,sat_old_source,sat_old_fixed
0,23,24,angle_4.7124,6554,-9830,3277,49152,0,13107,-6554,1572864,0,0,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,0.23094010767585,0.230926513671875,1.3594003974992663e-05,0.2,0.20001220703125,1.2207031249988898e-05,0.368761890132052,1.475128173828125,1.106366283696073,-0.8725,-3.490203857421875,2.617703857421875,-0.8725,-3.490203857421875,2.617703857421875,-0.368761890132051,-1.475128173828125,1.106366283696074,0.368761890132052,1.4751129150390625,1.1063510249070105,-0.8725,-3.4902130365371704,2.6177130365371704,0.013306926456202598,0.05323061486706138,0.039923688410858776,0.020612545898867598,0.08245509979315102,0.06184255389428342,0.516959736177535,0.5678428411483765,0.050883104970841475,0.496347190278667,0.48538774251937866,0.010959447759288365,0.483040263822465,0.43215715885162354,0.050883104970841475,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,0
0,24,25,angle_6.2832_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,25,26,angle_6.2832_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,26,27,angle_6.2832,6554,-9830,3277,0,0,13107,-6554,1572864,0,0,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,0.2,0.20001220703125,1.2207031249988898e-05,-0.23094010767585,-0.230926513671875,1.3594003974992663e-05,0.43625,1.744842529296875,1.308592529296875,0.0674881098679486,0.26971435546875,0.20222624560080138,0.43625,1.744842529296875,1.308592529296875,0.0674881098679486,0.26971435546875,0.20222624560080138,0.43625,1.7448402643203735,1.3085902643203735,0.0674881098679486,0.26972734928131104,0.20223923941336241,0.012415214517799098,0.04966023261658847,0.03724501809878938,0.0024353365646306996,0.009732754901051521,0.007297418336420822,0.49257472445878503,0.4703035354614258,0.022271188997359248,0.5049899389765841,0.5199637413024902,0.014973802325906171,0.507425275541215,0.5296964645385742,0.022271188997359248,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
0,27,28,sector_15_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,28,29,sector_15_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,29,30,sector_15,0,0,0,0,0,31651,8481,1572864,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10692570859303,8.427581787109375,6.320656078516345,0.564549042129873,2.258209228515625,1.693660186385752,2.10692570859303,8.427581787109375,6.320656078516345,0.564549042129873,2.258209228515625,1.693660186385752,2.10692570859303,8.427581071853638,6.320655363260608,0.564549042129873,2.2582008242607117,1.6936517821308388,0.0556560227584391,0.22262007277458906,0.16696405001614995,0.020371987414024,0.08148842095397413,0.061116433539950124,0.461985994913769,0.3479457497596741,0.11404024515409494,0.5176420176722081,0.5705658197402954,0.05292380206808733,0.538014005086232,0.6520542502403259,0.11404024515409394,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
0,30,31,sector_75_reset1,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,31,32,sector_75_reset2,0,0,0,0,0,0,0,1572864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
0,32,33,sector_75,0,0,0,0,0,8481,31651,1572864,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564549042129873,2.258209228515625,1.693660186385752,2.10692570859303,8.427581787109375,6.320656078516345,0.564549042129873,2.258209228515625,1.693660186385752,2.10692570859303,8.427581787109375,6.320656078516345,0.564549042129873,2.2582008242607117,1.6936517821308388,2.10692570859303,8.427581071853638,6.320655363260608,0.020370293759307396,0.08147858292795718,0.061108289168649785,0.0556546088924245,0.22261665971018374,0.16696205081775925,0.482357842433441,0.4294309616088867,0.05292688082455427,0.461987548674134,0.34795236587524414,0.11403518279888986,0.5380124513258661,0.6520476341247559,0.1140351827988898,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
