row_index,parameter_profile,case_id,v_alpha_raw,v_beta_raw,vdc_raw,source_sector,oracle_sector,sector_match,sector_exception,source_t1_norm,oracle_t1_norm,t1_error,source_t2_norm,oracle_t2_norm,t2_error,source_duty_u_norm,oracle_duty_u_norm,duty_u_error,source_duty_v_norm,oracle_duty_v_norm,duty_v_error,source_duty_w_norm,oracle_duty_w_norm,duty_w_error
41,real_commissioning,sector_255,-18499,-69040,1572864,6,6,1,0,0.0556546088924245,0.0556546146981418132781982421875,5.8057173132781982421875E-9,0.0203702937593074,0.0203705723397433757781982421875,2.785804359757781982421875E-7,0.517642157566559,0.51764202117919921875,1.3638735978125E-7,0.538012451325866,0.538012564182281494140625,1.12856415494140625E-7,0.461987548674134,0.461987435817718505859375,1.12856415494140625E-7
42,real_commissioning,sector_315_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
43,real_commissioning,sector_315_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
44,real_commissioning,sector_315,50541,-50541,1572864,2,2,1,0,0.0203722251362008,0.0203723870217800140380859375,1.618855792140380859375E-7,0.0556573046662674,0.0556577467359602451324462890625,4.420696928451324462890625E-7,0.461985235098766,0.461984932422637939453125,3.02676128060546875E-7,0.538014764901234,0.538015067577362060546875,3.02676128060546875E-7,0.482357460234967,0.482357323169708251953125,1.37065258748046875E-7
45,real_commissioning,edge_1_0_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
46,real_commissioning,edge_1_0_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
47,real_commissioning,edge_1_0,71475,0,1572864,2,2,1,0,0.0681640625,0.06816387176513671875,1.9073486328125E-7,-0E+4,0,0,0.46591796875,0.465918064117431640625,9.5367431640625E-8,0.53408203125,0.534081935882568359375,9.5367431640625E-8,0.53408203125,0.534081935882568359375,9.5367431640625E-8
48,real_commissioning,edge_1_1.732_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
49,real_commissioning,edge_1_1.732_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
50,real_commissioning,edge_1_1.732,71475,123795,1572864,3,1,0,1,0.00000399895833333441,-0.0000038337893784046173095703125,0.0000078327477117390273095703125,0.136327997760417,0.1363239097408950328826904296875,0.0000040880195219671173095703125,0.431834001640625,0.43183612823486328125,0.00000212659423828125,0.431838000598958,0.43183994293212890625,0.00000194233317090625,0.568165998359375,0.56816005706787109375,0.00000594129150390625
51,real_commissioning,edge_-1_1.732_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
52,real_commissioning,edge_-1_1.732_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
53,real_commissioning,edge_-1_1.732,-71475,123795,1572864,1,1,1,0,0.136324126041667,0.1363239097408950328826904296875,2.163007719671173095703125E-7,-0.00000399895833333441,-0.0000038337893784046173095703125,1.651689549297926904296875E-7,0.5681640625,0.56816387176513671875,1.9073486328125E-7,0.431839936458333,0.43183994293212890625,6.47379590625E-9,0.568160063541667,0.56816005706787109375,6.47379590625E-9
54,real_commissioning,edge_-1_0_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
55,real_commissioning,edge_-1_0_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
56,real_commissioning,edge_-1_0,-71475,0,1572864,4,4,1,0,-0E+4,0,0,0.0681640625,0.06816387176513671875,1.9073486328125E-7,0.53408203125,0.534081935882568359375,9.5367431640625E-8,0.46591796875,0.465918064117431640625,9.5367431640625E-8,0.46591796875,0.465918064117431640625,9.5367431640625E-8
57,real_commissioning,edge_-1_-1.732_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
