# theta_u16 sin_raw cos_raw
1045 6549 65208
1046 6549 65208
1047 6549 65208
1048 6574 65205
1049 6574 65205
1050 6574 65205
1051 6574 65205
1052 6599 65203
1053 6599 65203
1054 6599 65203
1055 6599 65203
1056 6624 65200
1057 6624 65200
1058 6624 65200
1059 6624 65200
1060 6649 65198
1061 6649 65198
1062 6649 65198
1063 6649 65198
1064 6674 65195
1065 6674 65195
1066 6674 65195
1067 6674 65195
1068 6699 65193
1069 6699 65193
1070 6699 65193
1071 6699 65193
1072 6724 65190
1073 6724 65190
1074 6724 65190
1075 6724 65190
1076 6749 65188
1077 6749 65188
1078 6749 65188
1079 6749 65188
1080 6774 65185
1081 6774 65185
1082 6774 65185
1083 6774 65185
1084 6799 65182
1085 6799 65182
1086 6799 65182
1087 6799 65182
1088 6824 65180
1089 6824 65180
1090 6824 65180
1091 6824 65180
1092 6849 65177
1093 6849 65177
1094 6849 65177
1095 6849 65177
1096 6874 65175
1097 6874 65175
1098 6874 65175
1099 6874 65175
1100 6899 65172
1101 6899 65172
1102 6899 65172
1103 6899 65172
1104 6924 65169
1105 6924 65169
1106 6924 65169
1107 6924 65169
1108 6949 65167
1109 6949 65167
1110 6949 65167
1111 6949 65167
1112 6974 65164
1113 6974 65164
1114 6974 65164
1115 6974 65164
1116 6999 65161
1117 6999 65161
1118 6999 65161
1119 6999 65161
1120 7024 65159
1121 7024 65159
1122 7024 65159
1123 7024 65159
1124 7049 65156
1125 7049 65156
1126 7049 65156
1127 7049 65156
1128 7074 65153
1129 7074 65153
1130 7074 65153
1131 7074 65153
1132 7099 65150
1133 7099 65150
1134 7099 65150
1135 7099 65150
1136 7124 65148
1137 7124 65148
1138 7124 65148
1139 7124 65148
1140 7149 65145
1141 7149 65145
1142 7149 65145
1143 7149 65145
1144 7174 65142
1145 7174 65142
1146 7174 65142
1147 7174 65142
1148 7199 65139
1149 7199 65139
1150 7199 65139
1151 7199 65139
1152 7224 65137
1153 7224 65137
1154 7224 65137
1155 7224 65137
1156 7249 65134
1157 7249 65134
1158 7249 65134
1159 7249 65134
1160 7273 65131
1161 7273 65131
1162 7273 65131
1163 7273 65131
1164 7298 65128
1165 7298 65128
1166 7298 65128
1167 7298 65128
1168 7323 65126
1169 7323 65126
1170 7323 65126
1171 7323 65126
1172 7348 65123
1173 7348 65123
1174 7348 65123
1175 7348 65123
1176 7373 65120
1177 7373 65120
1178 7373 65120
1179 7373 65120
1180 7398 65117
1181 7398 65117
1182 7398 65117
1183 7398 65117
1184 7423 65114
1185 7423 65114
1186 7423 65114
1187 7423 65114
1188 7448 65111
1189 7448 65111
1190 7448 65111
1191 7448 65111
1192 7473 65109
1193 7473 65109
1194 7473 65109
1195 7473 65109
1196 7498 65106
1197 7498 65106
1198 7498 65106
1199 7498 65106
1200 7523 65103
1201 7523 65103
1202 7523 65103
1203 7523 65103
1204 7548 65100
1205 7548 65100
1206 7548 65100
1207 7548 65100
1208 7573 65097
1209 7573 65097
1210 7573 65097
1211 7573 65097
1212 7598 65094
1213 7598 65094
1214 7598 65094
1215 7598 65094
1216 7623 65091
1217 7623 65091
1218 7623 65091
1219 7623 65091
1220 7648 65088
1221 7648 65088
1222 7648 65088
1223 7648 65088
1224 7673 65085
1225 7673 65085
1226 7673 65085
1227 7673 65085
1228 7698 65082
1229 7698 65082
1230 7698 65082
1231 7698 65082
1232 7723 65079
1233 7723 65079
1234 7723 65079
1235 7723 65079
1236 7748 65076
1237 7748 65076
1238 7748 65076
1239 7748 65076
1240 7773 65073
1241 7773 65073
1242 7773 65073
1243 7773 65073
1244 7798 65070
1245 7798 65070
1246 7798 65070
1247 7798 65070
1248 7823 65067
1249 7823 65067
1250 7823 65067
1251 7823 65067
1252 7848 65064
1253 7848 65064
1254 7848 65064
1255 7848 65064
1256 7873 65061
1257 7873 65061
1258 7873 65061
1259 7873 65061
1260 7898 65058
1261 7898 65058
1262 7898 65058
1263 7898 65058
1264 7923 65055
1265 7923 65055
1266 7923 65055
1267 7923 65055
1268 7947 65052
1269 7947 65052
1270 7947 65052
1271 7947 65052
1272 7972 65049
1273 7972 65049
1274 7972 65049
1275 7972 65049
1276 7997 65046
1277 7997 65046
